text,priority,description,category
Review pull requests,Medium,Schedule a dinner with friends,Personal
Review pull requests,Medium,Send project status update to stakeholders,Work
Workout session,Medium,Complete end-of-quarter financial report,Work
Clean the house,Medium,Conduct performance reviews,Work
Schedule team meeting,Medium,Schedule a dinner with friends,Personal
Update website,High,Complete end-of-quarter financial report,Work
Workout session,Low,Schedule dentist appointment,Health
Write blog post,Medium,Schedule a dinner with friends,Personal
Update website,Medium,Doctor appointment for annual checkup,Health
Doctor appointment,High,Schedule dentist appointment,Health
Schedule team meeting,Medium,Fix critical bugs in the system,Work
Doctor appointment,High,Complete end-of-quarter financial report,Work
Fix the sink,Medium,Plan a weekend getaway,Personal
Buy groceries,Low,Schedule dentist appointment,Health
Study for exam,Medium,Schedule a dinner with friends,Personal
Doctor appointment,Medium,Complete end-of-quarter financial report,Work
Clean the house,High,Schedule dentist appointment,Health
Clean the house,Medium,Complete end-of-quarter financial report,Work
Finish project report,Medium,Schedule a dinner with friends,Personal
Client follow-up,Low,Go for a run in the park,Health
Workout session,Medium,Doctor appointment for annual checkup,Health
Workout session,Medium,Gym session for strength training,Health
Buy groceries,Medium,Send project status update to stakeholders,Work
Client follow-up,Medium,Meditation and relaxation session,Health
Write blog post,Medium,Doctor appointment for annual checkup,Health
Buy groceries,Medium,Conduct performance reviews,Work
Client follow-up,High,Doctor appointment for annual checkup,Health
Workout session,High,Complete end-of-quarter financial report,Work
Organize files,Low,Gym session for strength training,Health
Organize files,Medium,Gym session for strength training,Health
Doctor appointment,High,Conduct performance reviews,Work
Update website,High,Conduct performance reviews,Work
Update website,Medium,Fix critical bugs in the system,Work
Finish project report,Medium,Plan a weekend getaway,Personal
Client follow-up,Medium,Conduct performance reviews,Work
Finish project report,Medium,Go for a run in the park,Health
Call family,Medium,Complete end-of-quarter financial report,Work
Finish project report,Medium,Buy groceries for the week,Personal
Write blog post,Medium,Call family to check in,Personal
Review pull requests,Medium,Organize the home office,Personal
Plan vacation,Medium,Schedule a dinner with friends,Personal
Study for exam,Medium,Organize the home office,Personal
Client follow-up,High,Fix critical bugs in the system,Work
Client follow-up,Medium,Complete end-of-quarter financial report,Work
Buy groceries,Medium,Prepare presentation slides for the meeting,Work
Update website,Medium,Schedule a dinner with friends,Personal
Write blog post,High,Fix critical bugs in the system,Work
Buy groceries,Medium,Buy groceries for the week,Personal
Plan vacation,High,Complete end-of-quarter financial report,Work
Finish project report,Medium,Conduct performance reviews,Work
Fix the sink,Low,Schedule dentist appointment,Health
Buy groceries,Medium,Plan a weekend getaway,Personal
Client follow-up,High,Send project status update to stakeholders,Work
Doctor appointment,Medium,Gym session for strength training,Health
Organize files,Medium,Gym session for strength training,Health
Plan vacation,Medium,Plan a weekend getaway,Personal
Update website,High,Complete end-of-quarter financial report,Work
Study for exam,Medium,Complete end-of-quarter financial report,Work
Plan vacation,Medium,Conduct performance reviews,Work
Study for exam,High,Send project status update to stakeholders,Work
Organize files,Medium,Prepare presentation slides for the meeting,Work
Finish project report,Low,Meditation and relaxation session,Health
Study for exam,Low,Meditation and relaxation session,Health
Client follow-up,Medium,Prepare presentation slides for the meeting,Work
Organize files,Medium,Schedule a dinner with friends,Personal
Update website,Medium,Organize the home office,Personal
Review pull requests,Medium,Plan a weekend getaway,Personal
Update website,Low,Schedule dentist appointment,Health
Write blog post,Medium,Plan a weekend getaway,Personal
Workout session,Medium,Prepare presentation slides for the meeting,Work
Fix the sink,Medium,Send project status update to stakeholders,Work
Workout session,Medium,Call family to check in,Personal
Fix the sink,Medium,Gym session for strength training,Health
Schedule team meeting,Medium,Organize the home office,Personal
Fix the sink,High,Send project status update to stakeholders,Work
Clean the house,Medium,Call family to check in,Personal
Workout session,Medium,Plan a weekend getaway,Personal
Client follow-up,High,Go for a run in the park,Health
Update website,High,Meditation and relaxation session,Health
Write blog post,Low,Go for a run in the park,Health
Fix the sink,Medium,Plan a weekend getaway,Personal
Clean the house,Medium,Call family to check in,Personal
Doctor appointment,Low,Go for a run in the park,Health
Review pull requests,High,Complete end-of-quarter financial report,Work
Clean the house,Medium,Conduct performance reviews,Work
Plan vacation,Medium,Complete end-of-quarter financial report,Work
Buy groceries,Medium,Gym session for strength training,Health
Call family,Medium,Organize the home office,Personal
Fix the sink,High,Conduct performance reviews,Work
Fix the sink,Medium,Schedule a dinner with friends,Personal
Fix the sink,Medium,Plan a weekend getaway,Personal
Organize files,Medium,Organize the home office,Personal
Buy groceries,Medium,Schedule a dinner with friends,Personal
Review pull requests,Medium,Plan a weekend getaway,Personal
Fix the sink,Medium,Organize the home office,Personal
Update website,Medium,Conduct performance reviews,Work
Doctor appointment,High,Go for a run in the park,Health
Update website,Medium,Conduct performance reviews,Work
Finish project report,High,Complete end-of-quarter financial report,Work
Clean the house,Low,Meditation and relaxation session,Health
Update website,Low,Meditation and relaxation session,Health
Workout session,Medium,Schedule a dinner with friends,Personal
Doctor appointment,High,Go for a run in the park,Health
Finish project report,Medium,Send project status update to stakeholders,Work
Schedule team meeting,Medium,Plan a weekend getaway,Personal
Update website,Medium,Fix critical bugs in the system,Work
Finish project report,Medium,Organize the home office,Personal
Clean the house,Medium,Meditation and relaxation session,Health
Write blog post,High,Schedule dentist appointment,Health
Schedule team meeting,High,Complete end-of-quarter financial report,Work
Buy groceries,Low,Gym session for strength training,Health
Review pull requests,Medium,Organize the home office,Personal
Client follow-up,Medium,Call family to check in,Personal
Workout session,Medium,Send project status update to stakeholders,Work
Workout session,High,Gym session for strength training,Health
Plan vacation,Low,Gym session for strength training,Health
Organize files,Medium,Buy groceries for the week,Personal
Update website,Medium,Buy groceries for the week,Personal
Call family,High,Complete end-of-quarter financial report,Work
Plan vacation,High,Gym session for strength training,Health
Plan vacation,High,Prepare presentation slides for the meeting,Work
Write blog post,Medium,Call family to check in,Personal
Fix the sink,Medium,Plan a weekend getaway,Personal
Plan vacation,Medium,Schedule a dinner with friends,Personal
Clean the house,High,Conduct performance reviews,Work
Review pull requests,Medium,Organize the home office,Personal
Schedule team meeting,High,Schedule dentist appointment,Health
Organize files,Medium,Prepare presentation slides for the meeting,Work
Review pull requests,Medium,Buy groceries for the week,Personal
Workout session,High,Complete end-of-quarter financial report,Work
Doctor appointment,Medium,Buy groceries for the week,Personal
Buy groceries,Medium,Schedule dentist appointment,Health
Organize files,High,Gym session for strength training,Health
Organize files,Medium,Go for a run in the park,Health
Schedule team meeting,High,Complete end-of-quarter financial report,Work
Fix the sink,Medium,Buy groceries for the week,Personal
Fix the sink,Medium,Schedule dentist appointment,Health
Client follow-up,Low,Doctor appointment for annual checkup,Health
Review pull requests,Low,Doctor appointment for annual checkup,Health
Workout session,Medium,Meditation and relaxation session,Health
Doctor appointment,Medium,Buy groceries for the week,Personal
Doctor appointment,Low,Schedule dentist appointment,Health
Call family,Medium,Go for a run in the park,Health
Study for exam,Medium,Schedule dentist appointment,Health
Doctor appointment,High,Gym session for strength training,Health
Review pull requests,High,Send project status update to stakeholders,Work
Plan vacation,Medium,Go for a run in the park,Health
Buy groceries,Low,Meditation and relaxation session,Health
